product_id,platform,keyword,title,price,original_price,shop_name,brand,model,url,image_url,comment_count,good_count,general_count,poor_count,good_rate,general_rate,poor_rate,sales_text
tb_558323396566429,taobao,电火灶,华火大功率商用电火灶10000W电生明火酒店餐馆厨房用灶单灶电燃灶,388.0,,华火电火灶工厂店旺旺在线,华火,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWa9T3vuhtN4kNSR5YdmE4edytt1DpNqHMHw8yQjGcTmQK&spm=a21n57.1.item.26,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2219868001723/O1CN01RapvCR1ObBWPjLTvU_!!2219868001723.jpg_580x580q90.jpg,388001,0,0,0,,,,388001人付款
tb_148688389608712,taobao,电火灶商用,多头商用电磁炉电陶炉不挑锅3500W大功率麻辣烫锡纸煲仔饭炉灶,351.0,,5年老店华灶商用电磁炉旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWR3Z7VYgwH8y7G9xRMWYx7563PDvHoZy6ZJJZqNiw3ndK&spm=a21n57.1.item.17,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2200743542695/O1CN01vSt3xf1VmMVa8cKPS_!!2200743542695.png_580x580q90.jpg,351600,0,0,0,,,,351600+人付款
tb_870797680704034,taobao,电火灶家用,华生好太太家用新款凹面电陶炉爆炒菜锅一体全套猛火3500W大功率,214.0,,华生好太太旗舰店旺旺在线,华生,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWQ434EWsJyY26HHZffDzo7xPeaMRpjo9d2u1VjGrmcetx&spm=a21n57.1.item.49,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2218806286407/O1CN01XGRyXK1xCShoF0KAU_!!4611686018427385927-0-item_pic.jpg_580x580q90.jpg,214400,0,0,0,,,,214400+人付款
tb_255341928380748,taobao,电火灶,不挑锅具平凹两用大功率5000火力值多功能电陶炉电火灶节能防爆,198.0,,琪美生活电器旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWaXTLxNkvh8GpMxjS77XdFv9dHa2XZDLCGebUdzDJwQmJ&spm=a21n57.1.item.35,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1893404380/O1CN01TbtoKn1iE5tj8eSti_!!1893404380.jpg_580x580q90.jpg,198500,0,0,0,,,,198500+人付款
tb_839811394849194,taobao,电火灶家用,家和电炉子节能电热炉丝 可调温电炉3000瓦家用电炉灶炒菜炉包邮,138.0,,金丰电气商行旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWP6qc31mcvoowLzzYhLiXYhf9xiKpxfo7VtRUTk8E83Y5&spm=a21n57.1.item.38,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/417230569/O1CN0162mJLW1G4eOPtQDKj_!!417230569.jpg_580x580q90.jpg,138100,0,0,0,,,,138100+人付款
tb_27428928132626,taobao,电焰灶,2026新款星焰家用新型电火灶明火不用燃气新能源电焰炉科技电然灶,1989.67,,星煜电焰旗舰店旺旺在线,星焰,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVc9x53rhW7gaXghHA6KogWXa7tP9RqjJxTWi6wXdXLHC&spm=a21n57.1.item.4,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2219910925553/O1CN019r3HfU1qtKVAfsaPo_!!4611686018427383025-2-item_pic.png_580x580q90.jpg,67600,0,0,0,,,,67600+人付款
tb_391521187508977,taobao,电火灶,2026星焰新型电火灶不用燃气科技电燃灶插电生明火家用新能源灶炉,2059.67,,星焰旗舰店旺旺在线,星焰,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWPLF1PnqTNQdrDSoWZSsfWYDdfA6tYmgVKgPYbQW2S6it&spm=a21n57.1.item.2,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2221254866948/O1CN014o2KBW21CF0sxkIid_!!4611686018427385860-2-item_pic.png_580x580q90.jpg,67500,0,0,0,,,,67500+人付款
tb_922628822223428,taobao,电火灶双灶,不锈钢气电两用燃气灶双灶嵌入式煤气灶电磁炉一体一气一电陶炉灶,559.0,,贵帝好太太电器旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYdn135y6XRDoHuTWGR7xEtGpWee7SC7M4kD6PaBm1fUb&spm=a21n57.1.item.26,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2215846410254/O1CN01ujAjeo1DkNi2ab5Q7_!!4611686018427385870-0-item_pic.jpg_580x580q90.jpg,55984,0,0,0,,,,55984人付款
tb_586086691286615,taobao,电火灶,加厚实验电热炉丝灶电炉子小型家用商做饭炒菜取暖烤火煮茶盘老式,25.3,,回头客1万BOIRCEON齐思专卖店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYjagybDCPyW8unLHBFa4ZnLmbzpdd3ZfY5V4rqChbd4J&spm=a21n57.1.item.49,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2206709872343/O1CN01CGCsSW1TB97w3ka9z_!!4611686018427385559-2-item_pic.png_580x580q90.jpg,52300,0,0,0,,,,52300+人付款
tb_113727381535887,taobao,电火灶,新型电火灶插电生明火3500瓦大火力电焰灶家用电陶炉灶具台嵌式,489.0,,新能源电火灶官营店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWS5qHE2bAm23nRBtUvDH8GZYUsyBiL6JFoNDAPFhDWpU4&spm=a21n57.1.item.4,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1898855630/O1CN01NkK7Lo1rSawz0dnoO_!!1898855630.jpg_580x580q90.jpg,48994,0,0,0,,,,48994人付款
